,Actual_Price,Predicted_Price,Date
2832,259.1866760253906,259.64814217361544,2021-07-03
2833,260.4366760253906,261.31018121197826,2021-07-04
2834,258.49334716796875,260.6029610475752,2021-07-05
2835,258.4066772460937,256.1150055274996,2021-07-06
2836,260.510009765625,263.49599232352614,2021-07-07
2837,260.1966552734375,262.29562777502855,2021-07-08
2838,260.9166564941406,260.37294613931755,2021-07-09
2839,264.53668212890625,266.48343239584557,2021-07-10
2840,261.8299865722656,261.23098070102293,2021-07-11
2841,263.9800109863281,265.3322180098321,2021-07-12
2842,268.5733337402344,268.57559154638193,2021-07-13
2843,270.3599853515625,269.6595909266967,2021-07-14
2844,272.7733459472656,271.7988710770957,2021-07-15
2845,281.010009765625,279.3123656721742,2021-07-16
2846,290.03668212890625,290.093709071368,2021-07-17
2847,288.0899963378906,288.3627196669304,2021-07-18
2848,288.6000061035156,286.9510207189532,2021-07-19
2849,298.0,297.90671266912267,2021-07-20
2850,303.2266540527344,300.9119007470761,2021-07-21
2851,341.6199951171875,343.9272908868662,2021-07-22
2852,339.4766540527344,357.4247160262425,2021-07-23
2853,345.9533386230469,353.1100468223322,2021-07-24
2854,359.0133361816406,355.73011644891363,2021-07-25
2855,371.3333435058594,367.8567115171737,2021-07-26
2856,402.86334228515625,395.0095906772832,2021-07-27
2857,390.6666564941406,397.59025961974834,2021-07-28
2858,404.6199951171875,397.71569954040643,2021-07-29
2859,409.9700012207031,409.0587720344652,2021-07-30
2860,407.36334228515625,407.284277698797,2021-07-31
2861,387.6466674804688,393.0901116497483,2021-08-01
2862,341.1666564941406,356.4132420866684,2021-08-02
2863,355.9833374023437,351.95070698724754,2021-08-03
2864,354.5033264160156,356.87436251280457,2021-08-04
2865,344.47332763671875,344.10874061680266,2021-08-05
2866,337.7966613769531,334.277495270483,2021-08-06
2867,351.57666015625,349.80762053716336,2021-08-07
2868,363.0033264160156,369.0704751710712,2021-08-08
2869,365.4599914550781,362.56843266835824,2021-08-09
2870,379.0199890136719,376.0804379924558,2021-08-10
2871,385.6233215332031,392.1614716255341,2021-08-11
2872,369.6766662597656,370.0499642186634,2021-08-12
2873,372.0,371.3733262465955,2021-08-13
2874,360.6400146484375,364.1449358199191,2021-08-14
2875,378.9966735839844,378.4719510106413,2021-08-15
2876,381.586669921875,381.9015447704057,2021-08-16
2877,365.0,374.7348199673868,2021-08-17
2878,361.5333251953125,360.50755603237747,2021-08-18
2879,338.3233337402344,344.4999103361723,2021-08-19
2880,336.336669921875,328.2949276976735,2021-08-20
2881,350.5833435058594,347.31436287832736,2021-08-21
2882,356.32000732421875,351.6250939611319,2021-08-22
2883,334.6000061035156,340.68375988062365,2021-08-23
2884,339.010009765625,333.3330655352797,2021-08-24
2885,322.1366577148437,323.32355301530845,2021-08-25
2886,319.5033264160156,317.3652651832391,2021-08-26
2887,325.3299865722656,319.3367288333856,2021-08-27
2888,308.97332763671875,315.31732354399844,2021-08-28
2889,310.8566589355469,316.9308052053303,2021-08-29
2890,299.9800109863281,302.22976584788984,2021-08-30
2891,312.84332275390625,305.165368645083,2021-08-31
2892,336.2900085449219,334.53172404774256,2021-09-01
2893,355.6666564941406,353.1579157263249,2021-09-02
2894,364.6466674804688,369.4699070617101,2021-09-03
2895,362.8233337402344,364.9201022100639,2021-09-04
2896,362.0633239746094,359.3068917871505,2021-09-05
2897,356.7799987792969,361.442797660747,2021-09-06
2898,352.260009765625,355.1847795686098,2021-09-07
2899,399.9266662597656,395.3819691694471,2021-09-08
2900,383.1966552734375,386.9863915448525,2021-09-09
2901,362.7066650390625,374.58700673664515,2021-09-10
2902,354.8999938964844,349.3422636969398,2021-09-11
2903,342.32000732421875,344.3185019790627,2021-09-12
2904,352.7066650390625,346.4534689489033,2021-09-13
2905,354.79998779296875,353.71857256915524,2021-09-14
2906,368.739990234375,368.18597824032474,2021-09-15
2907,343.85333251953125,353.21242265588705,2021-09-16
2908,349.8699951171875,347.3481042581453,2021-09-17
2909,343.5033264160156,352.55193511991155,2021-09-18
2910,331.8833312988281,340.2720367111389,2021-09-19
2911,332.0899963378906,342.0186544486429,2021-09-20
2912,314.6333312988281,321.81225504755304,2021-09-21
2913,310.0,298.3715173517778,2021-09-22
2914,306.1333312988281,312.8857994914746,2021-09-23
2915,312.4700012207031,317.69513062535617,2021-09-24
2916,276.3666687011719,288.9285273846222,2021-09-25
2917,282.1166687011719,276.02824602020456,2021-09-26
2918,312.239990234375,308.0580372871043,2021-09-27
2919,310.4166564941406,306.909077440834,2021-09-28
2920,301.8866577148437,301.18724643778006,2021-09-29
2921,297.0466613769531,309.8131804322039,2021-09-30
2922,307.7733459472656,306.9149465913082,2021-10-01
2923,302.4466552734375,309.8879990477459,2021-10-02
2924,307.3333435058594,304.95144137123174,2021-10-03
2925,310.6666564941406,310.8641161432907,2021-10-04
2926,301.51666259765625,310.31456238411016,2021-10-05
2927,286.6666564941406,291.81433590935114,2021-10-06
2928,291.9200134277344,296.03548925566713,2021-10-07
2929,307.4766540527344,304.66341036053115,2021-10-08
2930,307.7966613769531,304.7045636769444,2021-10-09
2931,292.1166687011719,296.76699401807286,2021-10-10
2932,285.6600036621094,284.4290496886704,2021-10-11
2933,273.84332275390625,277.2095688607269,2021-10-12
2934,254.67999267578125,262.79611543733427,2021-10-13
2935,266.92333984375,264.542212868948,2021-10-14
2936,269.9566650390625,266.34119438366514,2021-10-15
2937,290.1433410644531,289.9605676620908,2021-10-16
2938,288.1233215332031,291.7909599975871,2021-10-17
2939,293.2966613769531,288.29708915545837,2021-10-18
2940,279.7633361816406,284.63360341321703,2021-10-19
2941,279.42999267578125,279.007280792273,2021-10-20
2942,268.1933288574219,276.7042578351802,2021-10-21
2943,274.79998779296875,278.48777130323634,2021-10-22
2944,286.3233337402344,283.79052268852445,2021-10-23
2945,279.4333190917969,275.14138209211507,2021-10-24
2946,265.1166687011719,270.48932495846117,2021-10-25
2947,255.4566650390625,260.4029859841154,2021-10-26
2948,267.2966613769531,263.05953572739145,2021-10-27
2949,280.07666015625,277.5597784673806,2021-10-28
2950,290.5333251953125,288.6442503795608,2021-10-29
2951,301.7966613769531,299.32866414047453,2021-10-30
2952,307.0533447265625,310.8913801080487,2021-10-31
2953,331.32666015625,328.38559227470216,2021-11-01
2954,333.03668212890625,343.68759764422066,2021-11-02
2955,337.97332763671875,335.5388113847788,2021-11-03
2956,336.8800048828125,336.7788885747828,2021-11-04
2957,363.9466552734375,361.51674287660916,2021-11-05
2958,366.5233459472656,362.7674458059104,2021-11-06
2959,364.663330078125,367.9437519787736,2021-11-07
2960,359.20001220703125,362.38629934236025,2021-11-08
2961,361.5299987792969,360.21672219409476,2021-11-09
2962,381.8166809082031,377.2325551501302,2021-11-10
2963,363.7533264160156,372.33631636709305,2021-11-11
2964,348.586669921875,348.65853266868754,2021-11-12
2965,352.4200134277344,350.62378515749594,2021-11-13
2966,341.8299865722656,343.6939864081351,2021-11-14
2967,325.3099975585937,333.1277625682873,2021-11-15
2968,328.9833374023437,334.27397110540363,2021-11-16
2969,340.7900085449219,338.283475690339,2021-11-17
2970,328.3333435058594,332.44742497828787,2021-11-18
2971,334.7633361816406,333.2798590861649,2021-11-19
2972,342.7166748046875,341.07353457334375,2021-11-20
2973,325.7333374023437,331.9084436607921,2021-11-21
2974,336.260009765625,346.1288339250129,2021-11-22
2975,335.01666259765625,338.8940391778135,2021-11-23
2976,332.67333984375,333.57496395985214,2021-11-24
2977,292.1400146484375,307.03167181530836,2021-11-25
2978,293.836669921875,300.04175505035505,2021-11-26
2979,292.5033264160156,282.60318931927225,2021-11-27
2980,290.2533264160156,302.99017171095215,2021-11-28
2981,300.9800109863281,297.482709597421,2021-11-29
2982,303.0833435058594,303.41073263066437,2021-11-30
2983,317.5400085449219,312.471262872149,2021-12-01
2984,291.09332275390625,297.0275163505457,2021-12-02
2985,288.54998779296875,285.726030228682,2021-12-03
2986,262.3699951171875,269.157760107201,2021-12-04
2987,266.67999267578125,264.59593304525765,2021-12-05
2988,244.6666717529297,254.57821440970494,2021-12-06
2989,242.6666717529297,246.81161638202906,2021-12-07
2990,256.5299987792969,256.60927002532503,2021-12-08
2991,241.4566650390625,245.5747727827601,2021-12-09
2992,253.8699951171875,249.6709605715415,2021-12-10
2993,236.60333251953125,243.17130814155044,2021-12-11
2994,236.47332763671875,240.53570300807402,2021-12-12
2995,221.3000030517578,222.67028252498997,2021-12-13
2996,224.96665954589844,221.79273192775787,2021-12-14
2997,209.3866729736328,210.2665972455498,2021-12-15
2998,219.6000061035156,221.23209398971426,2021-12-16
2999,235.91000366210935,235.9802459335126,2021-12-17
3000,253.2100067138672,251.03535654388278,2021-12-18
3001,252.7533264160156,250.26766912855305,2021-12-19
3002,246.7899932861328,250.9874334423187,2021-12-20
3003,258.3333435058594,260.8003145795268,2021-12-21
3004,234.51666259765625,240.45408929982133,2021-12-22
3005,238.27999877929688,237.6427063146097,2021-12-23
